directory drwxr-xr-x 755 0 root 0 root 4096 1779517114 /usr/share/wazuh-indexer/certs
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 140285 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/jjwt-api-0.12.6.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 473271 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/jjwt-impl-0.12.6.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 9431 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/jjwt-jackson-0.12.6.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 8144350 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/kafka-clients-3.7.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 65665 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/lang-mustache-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 802456 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/ldaptive-1.2.3.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 24478 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/log4j-slf4j-impl-2.21.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 682804 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/lz4-java-1.8.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 84960 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/mapper-extras-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 132479 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/metrics-core-4.2.30.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 34221 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/minimal-json-0.9.5.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 339045 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-buffer-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 355199 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-codec-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 674362 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-codec-http-4.1.118.Final.jar
